version,optimizer,batch_size,epochs,macro_avg,accuracy
phys,adam,128,100,"['macro', 'avg', '0.94', '0.94', '0.94', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,128,100,"['macro', 'avg', '0.91', '0.92', '0.91', '7884']","['accuracy', '0.99', '7884']"
phys,adam,128,200,"['macro', 'avg', '0.96', '0.95', '0.95', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,128,200,"['macro', 'avg', '0.95', '0.95', '0.95', '7884']","['accuracy', '0.99', '7884']"
phys,adam,128,80,"['macro', 'avg', '0.94', '0.95', '0.94', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,128,80,"['macro', 'avg', '0.95', '0.94', '0.94', '7884']","['accuracy', '0.99', '7884']"
phys,adam,16,100,"['macro', 'avg', '0.91', '0.92', '0.91', '7884']","['accuracy', '0.98', '7884']"
phys,Nadam,16,100,"['macro', 'avg', '0.93', '0.89', '0.89', '7884']","['accuracy', '0.98', '7884']"
phys,adam,16,200,"['macro', 'avg', '0.86', '0.86', '0.86', '7884']","['accuracy', '0.98', '7884']"
phys,Nadam,16,200,"['macro', 'avg', '0.91', '0.91', '0.90', '7884']","['accuracy', '0.98', '7884']"
phys,adam,16,80,"['macro', 'avg', '0.92', '0.92', '0.92', '7884']","['accuracy', '0.98', '7884']"
phys,Nadam,16,80,"['macro', 'avg', '0.89', '0.89', '0.89', '7884']","['accuracy', '0.98', '7884']"
phys,adam,32,100,"['macro', 'avg', '0.91', '0.90', '0.89', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,32,100,"['macro', 'avg', '0.91', '0.92', '0.91', '7884']","['accuracy', '0.99', '7884']"
phys,adam,32,200,"['macro', 'avg', '0.94', '0.93', '0.93', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,32,200,"['macro', 'avg', '0.96', '0.96', '0.96', '7884']","['accuracy', '0.99', '7884']"
phys,adam,32,80,"['macro', 'avg', '0.90', '0.90', '0.90', '7884']","['accuracy', '0.98', '7884']"
phys,Nadam,32,80,"['macro', 'avg', '0.90', '0.92', '0.90', '7884']","['accuracy', '0.99', '7884']"
phys,adam,64,100,"['macro', 'avg', '0.92', '0.91', '0.91', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,64,100,"['macro', 'avg', '0.95', '0.92', '0.93', '7884']","['accuracy', '0.99', '7884']"
phys,adam,64,200,"['macro', 'avg', '0.96', '0.97', '0.96', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,64,200,"['macro', 'avg', '0.92', '0.92', '0.91', '7884']","['accuracy', '0.99', '7884']"
phys,adam,64,80,"['macro', 'avg', '0.95', '0.94', '0.94', '7884']","['accuracy', '0.99', '7884']"
phys,Nadam,64,80,"['macro', 'avg', '0.95', '0.94', '0.93', '7884']","['accuracy', '0.99', '7884']"
